body,section,title,url
"
With the year and the NFL regular season coming to a close, The Back Page takes a look back at the ups and downs of Harvard alums in the big leagues. While some found success and others faltered, the Crimson made its mark on professional sports in 2012.
On the gridiron, Baltimore Ravens Center Matt Birk ‘98 is the only Harvard alum slated to make an appearance in the NFL postseason. After a 17-23 loss to the Bengals on Sunday, the Ravens will take on the Colts next Sunday in the AFC Wild Card Round. The Ravens finished atop the AFC North for the second straight year, ending the season with a 10-6 record despite losing four of their last five contests.
Birk made a splash off the field this season, coming out against gay marriage in an <a href=""http://www.startribune.com/opinion/commentaries/171850721.html"">editorial in the Minnesota Star Tribune. While some may take issue with his politics, Birk’s anchoring presence in the Ravens’ defensive line this season has been <a href=""http://baltimore.cbslocal.com/2012/12/25/matt-birk-provides-stability-to-ravens-offense/"">undeniable. Before helping secure a playoff spot for his team, Birk was named a finalist for the 2013 Bart Starr Award, an honor bestowed by Athletes in Action to the NFL player who shows the strongest commitment to family and community as decided by a vote of NFL players.
<a name=""jump"">
In Buffalo, Ryan Fitzpatrick ’05 was unable to guide his team to the playoffs, and he might not get another chance. After failing to make the postseason for the 13th season in a row—the longest streak in the NFL—the Buffalo Bills have begun to jettison their staff. Among those already <a href=""http://espn.go.com/nfl/story/_/id/8795820/buffalo-bills-fire-chan-gailey-missing-playoffs-yet-again"">fired is coach Chan Gailey, who put up a 16-32 record in three losing seasons with the Bills.
It remains to be seen whether Fitzpatrick will remain the Bills’ starting quarterback in 2013, as <a href=""http://profootballtalk.nbcsports.com/2012/12/24/report-it-seems-obvious-ryan-fitzpatrick-done-in-buffalo/"">rumors have been circulating all season about finding a replacement. After inking a six-year, $62 million contract last year, Fitzpatrick has failed to develop into the offensive catalyst the Bills’ front office had hoped he would. This season he finished 17th in the league in passing.
In addition to Jeremy Lin ’10’s success in the NBA, it was an exciting year for 2011-2012 men’s basketball captains Keith Wright ’12 and Oliver McNally ‘12, who each inked contracts to play professionally abroad. In Canada, point guard McNally leads the NBL in assists and assists per game for the Moncton Miracles. The Miracles hold a 10-11 record, good for third place in the Atlantic Division.
Overseas, forward Wright—who signed with Swedish team Uppsala in October—ranks second on the team in points per game, with 14.82. Entering the new year, Uppsala  sits in second place in the league, having won four of its last five contests.
With the NHL lockout reaching day 108, the NHL and the NHLPA <a href=""http://sports.nationalpost.com/2012/12/31/nhl-lockout-league-union-expected-back-at-negotiating-table-after-three-week-hiatus/"">met in person today to resume negotiations after a three-week hiatus. Games have already been cancelled through mid-January—more than 50% of the season—and it remains to be seen whether the likes of Alex Killorn ’12 and Alex Biega ’10 will have a chance to play in the top league in 2013.
&nbsp;
",Sports,Uncertainty Awaits Athlete Alumni in 2013,"/blog/the-back-page/article/2013/1/1/birk-fitzpatrick-lin-wright-mcnally/
"
"
Well, we made it. The world didn’t end (even though Harvard men’s basketball fans might feel like it did), and the Crimson is back on the court and ice starting tomorrow, when the women’s basketball team hosts intrastate rival UMass to kick of a packed January schedule for Harvard sports. Now that we’re on the other side, let’s take a minute to reflect on the performances of 2012 and what teams should resolve to change going forward in 2013.
<a name=""jump"">
<span style=""text-decoration: underline;"">Men’s Basketball:
While Monday night’s last-second loss to Saint Mary’s was frustrating, the Crimson led its favored opponent the entire game, surprising almost everyone in the audience. After holding the Gaels to a 22.6 field goal percentage in the first half, Harvard could not contain a reinvigorated St. Mary’s offense that shot 65.3 percent from the field in the second. With a relatively shallow bench and a starting five that rack up huge minutes each time out, the Crimson has struggled to stay consistent—especially on defense—for the full 40 minutes. If you’re Crimson coach Tommy Amaker, you have to be thinking defense, defense, defense.
Resolution: Tighten up post defense to avoid letting leads slip away late in the game.
&nbsp;
<span style=""text-decoration: underline;"">Women’s Basketball:
With sophomore star Temi Fagbenle—who sat out her freshman season due to NCAA regulations—stepping up on offense, the team has made putting points on the board look easy. Fagbenle has scored in the double digits in her last four starts, and the team has also been aided by a consistent sophomore Christine Clark and confident senior Victoria Lippert, who led the team with 20 points in its loss to SMU Sunday. But no amount of points will compensate for sloppy ball handling, and indeed the Crimson has been plagued by turnovers that have led to quick points in transition for its opponents. Despite outscoring the Mustangs 38 to 24 in the paint, Harvard lost in part due to 20 costly turnovers that led to 30 points for SMU.
Resolution: Slow down the passing game and avoid unnecessary points off turnovers.
&nbsp;
<span style=""text-decoration: underline;"">Men’s Hockey:
Last season the team topped the nation in power play goals, converting an impressive 27.3 percent of its opportunities. This year, that number has dropped to 7.7 percent, up from 6.1 after the Crimson scored its only goal against Northeastern with the advantage in a 5-1 loss last weekend. With its touted penalty kill absent during the last two games—down to 50 percent against UMass and 25 percent against the Huskies—failing to convert power play opportunities is a recipe for disaster for the Crimson.
Resolution: Take advantage of power play opportunities to put easy points on the board.
&nbsp;
<span style=""text-decoration: underline;"">Women’s Hockey:
With only one loss so far this season and a perfect conference record, the No. 4 women’s hockey team looks hard to beat. Returning to the ice on Jan. 4 for the first time since early December, it remains to be seen whether the Crimson—undefeated in its last seven games—can keep up its current hot streak. But, with Harvard’s deadly combination of senior Laura Bellamy and freshman Emerance Maschmeyer in the net—ranked first and third in goaltending nationally—combined with 16th leading scorer Jillian Dempsey, the second half of the season looks nothing but promising.
Resolution: With a marathon second half schedule—18 games in less than two months—stay healthy and injury free.
&nbsp;
This New Years, The Harvard Crimson staff resolves to keep you updated on Harvard athletics throughout J-term as we count down to the spring semester. Follow The Back Page and <a href=""https://twitter.com/THCSports"">@THCSports for the most up-to-date news and analysis. Happy New Year!
",Sports,"New Years Resolutions Suggestions for Hockey, Basketball Teams","/blog/the-back-page/article/2013/1/1/harvard-new-years-resolutions-basketball/
"
"
Mistakes proved costly for the Harvard women's basketball team as it fell, 88-73, to Southern Methodist University on Sunday during the consolation round of the Surf 'N Slam Classic at San Diego State's Viejas Arena. The Crimson (7-5) gave up a combined 50 points off turnovers and free throws en route to a loss at the hands of the Mustangs (9-4).In the first-ever meeting between the teams, it was SMU junior Keena Mays who ran the floor for the afternoon, putting up a game-high 25 points. Mays, who transferred from Kansas at the beginning of the year, was followed by fellow guard, senior Alisha Filmore, who notched 22 points. Junior forward Akil Simpson closed out the power trio of scoring with 15 points for the night. No player on either team recorded a double-double.The Crimson shot at 49 percent from the field, led by senior guard Victoria Lippert and her team-high 20 points. The San Diego native drilled a perfect five-of-five from behind the arc, a new career high. Against No. 14/13 Oklahoma State on Friday night, Lippert was held to just one three the entire night out of her six attempts.[Lippert] is the type of player that can give us a big spark offensively and she was able to do that,” co-captain Emma Golen said. “She had some big shots at very key times. [Lippert] can hit shots when you need her to hit shots and that's what she did tonight.... She created some energy for us that was lacking.""Three other Harvard players saw double digit scoring. Sophomore forward Temi Fagbenle put up 16 points and led the effort on against the glass, grabbing eight rebounds and four blocks, both game-highs. Guards Christine Clark and Ali Curtis scored 11 and 12 points, respectively. Clark led the Ivy League in scoring at the start of this weekend, with an average of 16.6 points per contest. Golen entered the game at the top of the nation in three-point percentage, hitting 66 percent behind the arc, but missed all four attempts during the match-up.
The game started well for the Crimson, who jumped to an early lead with a pair of jumpers from Clark and Fagbenle in the first minute of play. A trey from Lippert brought Harvard up on the Mustangs, 7-6, and a trio of layups by Fagbenle and Curtis led the Crimson to its final lead of the day, 13-10, five and a half minutes into the game. A Mays three tied the contest and from there, SMU would never trail Harvard.After powerful shooting from Lippert tied the game again at 23-all, the Mustangs went on a 14-2 run over the next four minutes that allowed the team to head into the locker room with a 10 point advantage. In the second period, SMU eventually stretched their lead to as much as 20 points with just over five minutes remaining in the game.“I think we hung with them in the first half and felt pretty confident going into the second half, but we kind of fell apart in the second half,” Golen said. “They were just hitting in transition. They hit some tough shots and they hit some pretty good shots. We couldn't hang on and get the defensive shots we needed.”Errors were particularly fatal for the Crimson. 20 Harvard turnovers gave way to 30 points for the Mustangs, who shot at 76.9 percent from the charity stripe, netting 20 points.“Turnovers are a thing we're always constantly focusing on and trying to reduce in each of our games,” Curtis said. “The other team was very in our face and very good at pressuring defensively so I think offensively we have to be ready to expect that and be on the attack instead of back on our heels.”Turnovers were also a common theme in the heartbreaking overtime loss to Boston Universty in Dec. 10. 22 were committed as the Crimson fell to the Terriers, 68-61.The loss is the third straight for Harvard. The Crimson squad has not held a three-game losing streak since the very beginning of last season.“I thought overall, we learned a lot from playing such a good opponent,” Curtis said. “It really got us prepared for Ivy League [games] coming up.”-Staff writer Cordelia F. Mendez can be reached at cordeliamendez@college.harvard.edu
",Sports,"Turnovers Cost Women&#39;s Basketball in Loss to SMU |
    
        Sports |
    
    The Harvard Crimson","/article/2013/1/1/harvard-womens-basketball-smu-lippert/
"
"
Perhaps overshadowed by the Harvard men’s basketball team’s collapse to St. Mary’s was the strong play of sophomore forward Jonah Travis.Making his sixth career start, Travis scored a game-high 19 points—matching a career high—on just 10 shots.“It was amazing,” Harvard coach Tommy Amaker said of the sophomore’s performance. “I thought he played his butt off.”Travis scored nine points in the first 8:24 of play, helping the Crimson jump out to a 16-12 advantage over the heavily favored Gaels.Before it was all said and done, Travis had added 10 more points and finished the game shooting 8 of 10 from the field.
Travis was quick to credit the play of sophomore Wesley Saunders and freshman Siyani Chambers—the Crimson’s first and second leading scorers this season, respectively—for his success.“I can kind of hide in the shadows a little bit,” Travis said. “I’m not always the focal point of the scouting report, so when [Saunders and Chambers are] having success, usually that allows me to have some breakout games.”But after picking up two fouls in the first half, Travis struggled with foul trouble in the second period. And after picking up his fourth foul with 3:36 to play, Travis was sent to the bench with 2:26 remaining and the Crimson clinging to a six-point lead.Travis returned to the game with 2:08 to go after St. Mary’s pulled within four and eventually fouled out with 1.1 seconds remaining.“We missed not having him in there with foul trouble and then we fouled out at the end,” Amaker said.Travis finished with a total of 24 minutes on the court. Sophomore forward Steve Moundou-Missi replaced Travis and finished with eight points on three-of-seven shooting and four rebounds.His eight points marked Moundou-Missi’s second highest offensive output of the season.BIG DIn addition to his 14 points, Saunders also contributed on the defensive end.For 40 minutes, the 6’5” wing covered Saint Mary’s top scorer, senior point guard Matthew Dellavedova. Dellavedova, who entered the contest averaging 18.5 points per game, was held to four points—a season low—on 1-of-13 shooting from the field.
",Sports,"Travis Shines in Men’s Basketball’s Loss to Saint Mary’s |
    
        Sports |
    
    The Harvard Crimson","/article/2013/1/1/mens-basketball-notebook-st-marys/
"
"
""December 24th, 9 p.m. Eastern Standard Time. From here on out I shoot without a script."" Mark, an amateur filmmaker and one of the main characters in ""Rent,"" begins the musical with a reflection on the beginning of the end of the 20th century, in which New York City’s young artists struggled to find meaning in their lives despite poverty and disease. Harvard-Radcliffe Dramatic Club production of ""Rent"" ran in the OBERON from December 6 to December 12 and included many bold staging and lighting choices. Director Anna G. Kelsey '14 had to work with the unconventional stage organization at the OBERON, and made decisions that brought nuance to an often-performed musical. However, these choices seemed to enhance the cast’s energy and the end result was a production that remained true to Jonathan Larson’s original characters.The vocal talent of the ensemble cast was the most impressive aspect of the show. Vocal execution is essential to any staging of ""Rent"" because the rock opera’s ballads are its heart and soul, and a substantial number of songs involve collaboration between characters. One particularly successful vocal pairing was that of Mark (Jacob A. Brandt '14) and his friend Roger (Berklee student Jake Ohlbaum). Their ""What You Own"" was great not only because they have excellent voices, but because each was able to rely on the other for timing and onstage chemistry. Every scene with Mark and Roger flowed very well, and the two actors were able to give and take energy and presence from each other.Equally impressive were the numbers that brought together the majority or entirety of the cast, most notably ""Will I?"" and ""Seasons Of Love."" Music directors Mark R. Parker '12-'13 and Kyra A. Atekwana '14 coached the ensemble pieces to precision which made both of these renditions startling and touching. This is not to say that individual cast members did not stand out in certain pieces. Though the strong harmonies and clear vocals were impressive in and of themselves, it was the solo vocals of Kimberly A. M. Onah '15 in ""Seasons of Love"" that made the collaborative piece truly outstanding. The notes Onah proved able to hit made her stand out from the group harmonies, which were fantastic in their own right.Kelsey's cast gave the show everything they had, and their sustained energy carried the show from start to finish. In every aspect of the performance, the actors were incredibly well timed—the cast kept up relentless dancing and singing despite the length of the show and remained in sync for complicated routines like the dance segments in ""Tango: Maureen"" and ""Contact."" The cast’s energy in the bigger numbers was incredible, as was especially evident in ""La Vie Boheme,"" the table-stomping, fist-pumping crown jewel of the production.OBERON's stage was the perfect home for this production. Instead of amphitheater-like seating, the club seats the audience at round tables interspersed throughout the room, which allowed the actors to move about the audience. Kelsey succeeded in finding innovative ways to use the layout of the OBERON to her advantage. In the opening number, disgruntled tenants were able to run and twirl in the aisles while others took to the balconies to roar their discontent. In fact, Kelsey staged a fair amount of action on the balconies of the club, which gave the audience multiple perspectives from which they could view the actors. Kelsey and choreographer Sofie A. R. Seymour '15 deserve an enormous amount of credit for adapting the musical to this unconventional set-up so well.
The OBERON’s club atmosphere also came in handy in the lighting for some of the pieces. During ""Christmas Bells,"" a light directed at the giant disco ball simulated snow. While many of the choices might have seemed out of place in a different production of ""Rent,"" the lighting brought nuance to this version of the musical and made the production as a whole vibrant and fresh. Yasmeen E. Audi '15 played the spirited Mimi whose solo piece, ""Out Tonight,"" was bolder and livelier as a result of the colorful pulsing lights that reflected off of the many mirrors of the disco club. In ""Contact,"" the sexual energy radiated off of the stage as glaring red lights highlighted the writhing and grinding bodies seeking release.Due to the director’s nuanced staging and lighting choices, the lighting additions and fragmented staging did not detract from the poignancy of Larson's original characters. It was the energy of the actors and the power of their singing that ensured that the spirit of the musical remained. Larson's lyrics and characters are still relevant today, and the enormously talented director and cast made sure that this classic could not have been anything less than excellent.
",Arts,"Rent Remains True With Creative Staging and Lighting |
    
        Arts |
    
    The Harvard Crimson","/article/2013/1/2/rent-review-oberon/
"
"
Good news, Harvard foodies: a recently shuttered iconic eatery in the Square will soon have a new occupant.Local chef Michael Scelfo plans to open his own establishment in the space on Brattle Street previously occupied by the Mediterranean restaurant Casablanca, Boston Magazine reported last week.Casablanca, a beloved gathering place for Harvard professors and other affiliates since its founding as a bar in 1955, was <a href=""http://www.thecrimson.com/article/2011/10/13/casablanca-restaurant-sale/"">put up for sale in 2011. It closed its doors for good last month.<!--more-->Scelfo, currently the executive chef at Russell House Tavern, has spent four years working with the Grafton Group, which also oversees Temple Bar, Grafton Street, and Park. 
""They are great people,"" Scelfo said of his Grafton Group colleagues. ""And I’ve learned quite a bit from them."" Yet Scelfo said he is excited to take a new step in his career, adding that opening his own restaurant will ""fulfill a lifelong dream."" Scelfo said he can report no further details of his plans at this point, but will release more information in the coming months.When Casablanca went up for sale in 2011, Executive Director of the Harvard Square Business Association Denise A. Jillson told The Crimson she was hopeful that the vacated space would reopen its doors.“Recently, a Boston Globe column talked about the re-opening of Bob Slate Stationer and referred to it as ‘a miracle on Brattle Street.’ We look forward to a second miracle,” Jillson said at the time.Here's hoping Scelfo's restaurant becomes as much of a fixture in Harvard Square as Casablanca.
",Flyby,New Restaurant To Open in Casablanca Space | Flyby,"/article/2013/1/2/restaurant-square-casablanca-chef/
"
"
After a 2012 regular season that began with playoff hype but ended with the Buffalo Bills posting a 6-10 record for the third time in four years, Ryan Fitzpatrick ’05 heads into the offseason with an organization facing more questions than answers. Although Fitzpatrick signed a seven year contract valued at more than $60 million dollars with the Bills last season, with the head coach that developed him—Chan Gailey—gone, his future with the organization is in doubt. Looking both at the franchise and the current free agency situation around the NFL, The Back Page offers a look at where Fitzpatrick could be playing next year.
<a name=""jump"">
On the Bills’ side of things:
In his fifth season starting ten or more games, Fitzmagic posted the second-highest completion percentage of his career and matched his career high with 24 touchdown strikes. However, he had 24 turnovers and his QBR (an advanced metric valuing quarterback performance that takes into consideration game situations and quality of opponents) was the lowest since his first year on the Bills. For his career, Fitzpatrick has never led a team to a record north of .500 and has committed 19 or more turnovers in each of the past three seasons. However, he has thrown for over 3,000 yards in three straight seasons and has been a dramatic improvement over previous Bills turnover machines Trent Edwards and J.P. Losman.
Gailey was often Fitzpatrick’s biggest supporter but was let go by the organization on Monday. Remaining is general manager Buddy Nix, who signed off on Fitzpatrick’s contract but last week said, “We need a good, young quarterback, and we’re going to do our best to get him.” While the Bills hold the eighth pick in the draft, teams with more dubious quarterback situations draft ahead of them. The first three picks in the draft go to the Chiefs, the Jaguars, and the Raiders—none of which has a convincing future at the position. Directly ahead of the Bills are the Browns and Cardinals, two more teams that could use another quarterback prospect. In a draft with weak quarterback prospects—headliners Matt Barkley, Mike Glennon, and Geno Smith struggled late in the year with inconsistent play and injuries—the Bills may opt to take another year of Fitzpatrick rather than hemorrhage picks to trade up and select a quarterback without the potential of last year’s RG3 or Andrew Luck.
Fitzpatrick’s large contract includes $24 million in guaranteed money and drafting another quarterback would be tantamount to acknowledging such a large contract was a mistake and eating the money. After splurging and giving defensive ends Kyle Williams Mario Williams $67 million in guaranteed money last year, the Bills would be strapped for cash if they took to free agency to find a high-priced veteran option like Michael Vick so the draft is likely their only option. For those reasons, although Fitzpatrick likely will not have the same rapport with the next Bills coach, the huge contract ensures the Bills likely have thrown in their lot with Fitzpatrick for 2013.
&nbsp;
If he leaves…:
Although a trade for Fitzpatrick would be hard to pull off or justify—his contract would be a large burden for a team to take on for a starter that hasn’t yet lived up to it—Nix may decide cutting the Amish Rifle is worth the risk. Various general managers have tied their futures to young quarterbacks—Bill Polian in Indianapolis (Peyton Manning) and Bruce Allen in Washington (RG3) are two good examples—and Nix may try to save his job by taking a flier on Barkley or Smith. If Nix were fired before the draft, Fitzpatrick would be left without the general manager or coach that brought him into the fold and could be left out in the cold.
If Fitzpatrick is released, he could sign a significantly smaller contract as a starter for a team looking for a short-term fill like the Chiefs or Cardinals (a la what Chad Henne did this year for the Jaguars). He would provide an upgrade to their current situation while not forcing them to draft a quarterback in a year where the draft is stronger at other positions. The Amish Rifle could also land as a low-priced backup on teams with little depth at that position like Cincinnati (current using Bruce Gradkowski), Oakland (Terrelle Pryor), or San Diego (Charlie Whitehurst).
&nbsp;
Future prospects:
Although Nix’s rhetoric is strong and he threatens to trade up to draft Fitzpatrick’s replacement, the Bills spent heavily last offseason and should be reluctant to make their $60 million acquisition a backup or even cut him without a sure alternative. Before tailing off at the end of the year, Fitzpatrick had thrown 15 touchdowns against only eight picks and the team was a game out of first in the AFC East through seven games. The combination of a weak draft and huge contract will likely end with Fitzmagic staying for one more season in Buffalo. If he leaves, as a 30-year old on the downswing of his career, the Amish Rifle is unlikely to get longer than a two-year contract from a team looking for a stopgap or low-priced backup who has already proved his leadership ability in the league.
&nbsp;
",Sports,Is it Bills or Bust for Ryan Fitzpatrick &#39;05?,"/blog/the-back-page/article/2013/1/2/ryan-fitzpatrick-harvard-bills/
"
"
UPDATED: January 5, 2013, at 10:37 a.m.Over the past nearly four decades, there have been few constants in the Winthrop House community. David D. Simms Jr., Winthrop’s superintendent and building manager for 38 years, was one of them.Simms, who held the post since October 1974, died at Mount Auburn Hospital on Dec. 28 after suddenly falling ill in his office the week before. He was 65.An email thread over the House list that began after the House Masters announced that he had been hospitalized tells story after story about how “Mr. Simms”—as he was known to the House community—had affected many members of the House in different ways. Usually, it was the small things they remembered—the times he gladly gave them a spare key when they were locked out of their rooms or went to great lengths to ensure that incoming mail packages efficiently reached their owners.Undergraduates who had built personal relationships with Simms or worked with him remembered Simms as someone who, without fail, cared deeply about each student who passed through Winthrop House.
“He wanted to make sure that there wasn’t a student who came to the office and couldn’t get what they needed there,” said Alexis C. Gomez ’13, a Winthrop resident and Dorm Crew head captain who had worked closely with Simms.Sitting in his office on the first floor of G-entryway with his door open, Simms would greet each person who walked past with an unmistakably warm “How you doin’?” He would then strike up a conversation and listen to students talk about their successes and struggles.“You’re in the middle of exams. It’s winter. It’s cold. It’s dark. He’d make a joke—something about the news—he’d crack a joke, and you’d laugh,” said Jonathan M. Padilla ’12, a former Winthrop House resident who would frequently stop by Simms’s office to discuss politics and current events. “We needed the two to three minutes of humor a day to keep us sane.”Sometimes, Simms would share his own stories as well—stories about Texas, where he went every summer to visit his extended family and indulge in warm weather and Southern barbecue. He told students that before coming to Harvard, he was a veteran of the U.S. Army who had served a tour in Vietnam, and that on the weekends he worked a second job as a guard for Eastern Security at the Longy School of Music of Bard College.“He loved every one of those students,” said Mary A. Simms, Simms’s wife. She recalled that her husband would come home every day and talk about his work. “No two days were the same because it was always an adventure. Something always happened.”For Winthrop students, Simms was the man to turn to when that something happened amid the hustle and bustle of academic and residential life. When the radiator stopped working or the roof started to leak, Simms would call for backup immediately. When a package arrived from home, Simms already had the student’s mailbox number memorized. When students forgot to put their boxes into storage in the spring or needed help removing them in the fall, Simms was there.“He worked all of his time, and he never really asked for anything for himself,” said Zachary H. Goldberg ’14, who worked for Simms as a building manager assistant.Raul A. Campillo ’09, a Winthrop resident tutor who also lived in the House and worked for Simms as an undergraduate, put it another way.“He really understood that Winthrop House was everyone’s home away from home,” Campillo said. “He was synonymous with the House.”Mary Simms said that in recent years, she would ask her husband when he would finally leave Harvard. Each time, Simms would say that “next year” he would retire and return to Texas, but “next year” never seemed to come. Even in the few months before he died, Simms repeatedly told her that 2013 would be the year.“He was one of the longest serving building managers at Harvard—someone who clearly wasn’t doing it because he made fantastic money or because he wanted it to be some platform to some other position,” said Alexander G. Smith ’15, the current Dorm Crew captain of Winthrop House. “He really genuinely enjoyed the company of the students in Winthrop and was someone who, at the end of the day, cared about the well-being of the students.”A funeral will be held on Friday morning at the Mount Olive Kingdom Builders Worship Center in Boston. Visitation begins at 10 a.m., and the service begins at 11 a.m.Simms is survived by his wife Mary, his daughters Charlyne and Michele, his son David D. Simms III, and his grandchildren David D. Simms IV, Mickai D. L. Simms, and Lia A. Monteiro.—Staff writer Xi Yu can be reached at xyu@college.harvard.edu.
",News,"For 38 Years, Superintendent David Simms Made Winthrop House Feel Like Home |
    
        News |
    
    The Harvard Crimson","/article/2013/1/3/david-simms-obituary-winthrop/
"
"
The Harvard men’s basketball team would like nothing more than to leave 2012 in the past. After losing on a last-second game-winner against Saint Mary’s on New Years Eve, the Crimson will look to make a fresh start in 2013 when it hosts Rice on Saturday.Co-captain Christian Webster is the only Harvard player remaining from the last time the Crimson (7-5) took on the Owls (3-9) in 2009. The guard—then a freshman—dropped 10 points in an 85-64 blowout by a starting five that included Jeremy Lin ’10 and last season’s co-captains, Oliver McNally and Keith Wright.After tinkering with Harvard’s starting lineup for the first six games of the season, coach Tommy Amaker has settled on a starting five which is led by freshman point guard Siyani Chambers and sophomore forward Wes Saunders. Chambers and Saunders, who have started every game this season, top the team with 12.5 and 15.8 points per game, respectively.Saunders has scored in the double digits every game this season, and he credits Chambers—who averages 5.7 assists per game—for creating offensive opportunities.“Siyani had confidence in me even in the first half when I wasn’t knocking down shots,” said Saunders, following an 18-point performance in last week’s upset victory over California. “He kept coming to me, and so I was able to knock down some shots, and my teammates put me in the right position.”
Joining Chambers and Saunders in the starting lineup are Webster, junior guard Laurent Rivard, and sophomore Forward Jonah Travis.“That’s been our best lineup,” said Amaker after the Cal game. “We’ve stuck with that now for a few games, and I like the rhythm it’s given our team. We space the floor well, and when we get some post production that really adds to the balance of our team.”After failing to score in double digits in the previous four games, Travis was dominant in the paint against Saint Mary’s, putting up a season-high 19 points on 8-of-10 shooting from the field.In addition to creating opportunities on offense, defense will be crucial as the Crimson takes on an Owls team led by senior Tamir Jackson. The guard—who is the only Rice player returning from the 2009 matchup—averages 17.6 points per game with 6.7 rebounds. Following Jackson is sophomore guard Julian DeBose, who adds 9.5 points per game.While the Owls’ two top scorers are starters, the team has also been able to take advantage of a strong bench. Three bench players are averaging more than five points per game, led by Junior guard Austin Ramljak with 7.7.In twelve games, the Owls have been outmatched offensively across the board. They are shooting 39 percent from the field to Harvard’s 46.3 and averaging 57.9 points per game to the Crimson’s 68.3.Despite the statistical mismatch, Harvard will have to contain Jackson in order to shut down the Owl’s offense. In the matchup against Cal, Amaker looked to Saunders to defend the Bears’ top scorer, junior guard Allen Crabbe. Saunders credits his teammates with helping slow his opponent down.“Obviously I knew [Crabbe] was going to make some tough shots,” Saunders said. “But I mean it was just a team effort defending him. My teammates had my back whenever I got caught.”In turning the page in the New Year, Harvard will look to cut down on costly mistakes that sealed its fate against Saint Mary’s. The Crimson led until the last second, but a couple of missed rebounds and shots from the stripe made the difference down the stretch as the Gaels chipped away at Harvard’s lead through the second half.“We made too many critical mistakes with handling the basketball and not making foul shots… which is what wins you close games, especially when you’re up,” Amaker said after the loss.“The intensity that we brought in the first half just wasn’t there in the second half, and I don’t know what it was,” Travis added. “I think we might have just gotten too comfortable.”The Owls enter the contest having lost their last two against TCU and Texas. Rice has yet to put together back-to-back victories this season.A win against the Owls would put the Crimson back on track after snapping its three game win streak—the longest of the season—to end its California road trip. The matchup is Harvard’s last non-conference game before the start of Ivy League play when Harvard travels to take on Dartmouth on Jan. 12.
",Sports,"Men&#39;s Basketball Looks To Rebound Against Rice Saturday |
    
        Sports |
    
    The Harvard Crimson","/article/2013/1/3/harvard-mens-basketball-rice/
"
"
After a back-and-forth first quarter that ended with the Hornets up by one, the basement-dwellers of the Western Conference looked to steal one on the road from Jeremy Lin ’10 and the Houston Rockets. But a 25-foot jumper from Lin in the very next frame capped off a 12-5 Rockets run that saw the final lead change of the game.
Lin recorded nine points and seven assists as the Houston Rockets took their second straight in a 104-92 win over the New Orleans Hornets Wednesday night.
<a name=""jump"">Although New Orleans (7-25) briefly tied the game midway through the fourth quarter, Houston (18-14) never fell behind after taking the lead in the second. The Rockets finished strong, outscoring the Hornets in each of the final two periods to hand New Orleans its 13th road loss of the season in 16 away games.
Houston’s James Harden led all scorers with 31 points for his 11th 30-plus point performance of the season. Teammate Omer Asik put down 21 points of his own while rookie Patrick Patterson added 15 points off the bench.
Lin logged a game-high 42 minutes and shot 3-for-10 from the field.
“I’m feeling good,” Lin said after his fourth straight 40-plus-minute game. “Tonight was a tougher one. Shots weren’t falling, so it was an uglier one.”
As the regular season nears its midway point, Houston clings to the sixth spot in the Western Conference. Two games separate the Rockets from the ninth-place Minnesota Timberwolves in a tightening playoff picture.
",Sports,Jeremy Lin &#39;10 Starts 2013 With Win,"/blog/the-back-page/article/2013/1/3/lin-rockets-no-hornets/
"
